C-UpfieldOHeaSt-2010-03-02

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-UpfieldOHeaSt, Upfield Shared Path and OHea St, Coburg, 9.2, 320532.55, 5821368.45, 17 H11, Upfield Shared Path, OHea St Shared Path

countsite, count_date, bin_duration, counting, gender_split, counter
C-UpfieldOHeaSt, 2010-03-02, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-UpfieldOHeaSt, 2010-03-02 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-UpfieldOHeaSt, 2010-03-02 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
C-UpfieldOHeaSt, 2010-03-02 07:30:00, 15, bicycle riders, F, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5
C-UpfieldOHeaSt, 2010-03-02 07:45:00, 15, bicycle riders, F, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-UpfieldOHeaSt, 2010-03-02 08:00:00, 15, bicycle riders, F, 0, 3, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1
C-UpfieldOHeaSt, 2010-03-02 08:15:00, 15, bicycle riders, F, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2
C-UpfieldOHeaSt, 2010-03-02 08:30:00, 15, bicycle riders, F, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
C-UpfieldOHeaSt, 2010-03-02 08:45:00, 15, bicycle riders, F, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-UpfieldOHeaSt, 2010-03-02 07:00:00, 15, bicycle riders, M, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0
C-UpfieldOHeaSt, 2010-03-02 07:15:00, 15, bicycle riders, M, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
C-UpfieldOHeaSt, 2010-03-02 07:30:00, 15, bicycle riders, M, 0, 6, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1
C-UpfieldOHeaSt, 2010-03-02 07:45:00, 15, bicycle riders, M, 0, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0
C-UpfieldOHeaSt, 2010-03-02 08:00:00, 15, bicycle riders, M, 0, 10, 0, 0, 0, 1, 0, 5, 0, 0, 1, 1
C-UpfieldOHeaSt, 2010-03-02 08:15:00, 15, bicycle riders, M, 0, 6, 0, 0, 1, 0, 0, 3, 0, 1, 1, 1
C-UpfieldOHeaSt, 2010-03-02 08:30:00, 15, bicycle riders, M, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
C-UpfieldOHeaSt, 2010-03-02 08:45:00, 15, bicycle riders, M, 0, 9, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0
